,id,recipe_name,recipe_image,nb_missed_ing,missed_ing,missing_prices,total_missing,instructions,price_per_serving,vegetarian,vegan,gluten_free,dairy_free
0,991700,Pesto Zucchini Noodles Meal Prep,https://spoonacular.com/recipeImages/991700-312x231.jpg,1,['juice of lemon'],"[('juice of lemon', 0.2034)]",0.2034,"In a large skillet or wok, add oil. Bring pan to medium high heat.
 Add in the zucchini and cook until tender but still crispy. Place zucchini into a colander to strain out all the water. Set aside.
 To make the pesto, add parsley, garlic, cheese and nuts to food processor. Pulse on high speed until everything is finely chopped. Set food processor to low speed and gradually stream in the oil and lemon juice while the food processor is still running, until the sauce becomes smooth and creamy. Start with 1/3 cup olive oil and add more if needed. Taste and add salt and pepper if needed.
 Toss zucchini in pesto. You do not need to use the entire amount of pesto. Just add enough for your own personal preference. Toss in tomatoes. Divide into meal prep containers. Garnish with parmesan cheese if desired.",0.3306,True,True,True,True
1,943850,Roasted Tomatoes with Garlic,https://spoonacular.com/recipeImages/943850-312x231.jpg,1,['garlic'],"[('garlic', 0.0667)]",0.0667,Preheat oven to 400 degrees F. Line a large rimmed baking sheet with foil.,1.3622999999999998,True,True,True,True
2,994453,Pesto Zucchini Noodles Meal Prep,https://spoonacular.com/recipeImages/994453-312x231.jpg,1,['juice of lemon'],"[('juice of lemon', 0.2034)]",0.2034,"In a large skillet or wok, add oil. Bring pan to medium high heat.
 Add in the zucchini and cook until tender but still crispy. Place zucchini into a colander to strain out all the water. Set aside.
 To make the pesto, add parsley, garlic, cheese and nuts to food processor. Pulse on high speed until everything is finely chopped. Set food processor to low speed and gradually stream in the oil and lemon juice while the food processor is still running, until the sauce becomes smooth and creamy. Start with 1/3 cup olive oil and add more if needed. Taste and add salt and pepper if needed.
 Toss zucchini in pesto. You do not need to use the entire amount of pesto. Just add enough for your own personal preference. Toss in tomatoes. Divide into meal prep containers. Garnish with parmesan cheese if desired.",0.3306,True,True,True,True
3,942576,Roasted Tomatoes with Garlic,https://spoonacular.com/recipeImages/942576-312x231.jpg,1,['garlic'],"[('garlic', 0.0667)]",0.0667,Preheat oven to 400 degrees F. Line a large rimmed baking sheet with foil.,1.3622999999999998,True,True,True,True
4,132293,Vegan Focaccia,https://spoonacular.com/recipeImages/132293-312x231.jpg,2,"['fresh yeast', 'garlic cloves']","[('fresh yeast', 0.058899999999999994), ('garlic cloves', 0.0667)]",0.1256,,0.5294,True,True,False,True
5,132716,Exceptional English Muffin Sandwiches,https://spoonacular.com/recipeImages/132716-312x231.png,2,"['english muffin', 'poached egg']","[('english muffin', 0.4275), ('poached egg', 0.0055000000000000005)]",0.433,,1.091,True,False,False,True
6,525214,Easy 3-Ingredient Crock Pot Corn Dip,https://spoonacular.com/recipeImages/525214-312x231.jpg,3,"['canned corn', 'canned tomatoes', 'light cream cheese']","[('canned corn', 0.0025), ('canned tomatoes', 0.0021), ('light cream cheese', 0.011399999999999999)]",0.016,"Ideal Slow Cooker: 1 to 2-Quart.Fully drain the can of corn and discard the liquid.Partially drain the can of tomatoes, leaving about half the liquid.Pour the corn and tomatoes with their remaining liquid into the slow cooker.Add the cubes of cream cheese.Cover and cook on LOW for one to 2 hours, stirring occasionally, until cream cheese is melted and dip is warmed through. Serve warm with your favorite veggies and corn chips for dipping.Makes about 2-1/2 cups",0.4192,True,False,True,False
7,395804,Low-Fat Tangy Tomato Dressing,https://spoonacular.com/recipeImages/395804-312x231.jpg,3,"['canned tomatoes', 'cider vinegar', 'italian salad dressing mix']","[('canned tomatoes', 0.0021), ('cider vinegar', 0.0037), ('italian salad dressing mix', 0.046799999999999994)]",0.052599999999999994,"Directions                                                                                Place all ingredients in a blender; cover and process until blended.                                        Yield: 2 cups.                                                                                                                         Originally published as Low-Fat Tangy Tomato Dressing in  Healthy CookingOctober/November 2012, p29                                                                                                                                                                                                        Nutritional Facts                                                                             2 tablespoons equals 15 calories, 1 g fat (trace saturated fat), 0 cholesterol, 170 mg sodium, 2 g carbohydrate, trace fiber, trace protein. Diabetic Exchange: Free food.                                                                                                                                                                    Print                                                                                    Add to Recipe Box                            Email a Friend",0.0729,True,True,True,True
8,980,Domestic Diva's Sea Bass With Roasted Eggplant Puree & Olive An,https://spoonacular.com/recipeImages/980-312x231.jpg,3,"['black olives', 'canned tomatoes', 'eggplant']","[('black olives', 0.15710000000000002), ('canned tomatoes', 0.0021), ('eggplant', 0.0033)]",0.1625,,2.2129,True,True,True,True
9,133904,Almost Instant Tomato Basil Crescents,https://spoonacular.com/recipeImages/133904-312x231.jpg,3,"['pesto sauce', 'refrigerated crescent dinner rolls', 'sun dried tomato']","[('pesto sauce', 0.2571), ('refrigerated crescent dinner rolls', 0.41), ('sun dried tomato', 0.06509999999999999)]",0.7322,,1.7512999999999999,False,False,False,True
